Category,Name,Phone,Street Address,Locality,Region,Postal Code

Hairdressers,Amicus Hair and Beauty,(03) 5976 2740,"Amicus Hair & Beauty, 2 Albert St","Mornington,","VIC,", 3931

Hairdressers,Elva's Hairdressing,(03) 5144 3404,108 Foster St,"Sale,","VIC,", 3850

Beauty Salons,Ruby Hair Design,(03) 5022 2183,55A Pine Ave,"Mildura,","VIC,", 3500

Hairdressers,Edward Scissorhands Barber Shop,(03) 9534 4546,"Edward Scissorhands Barber shop, 159 Chapel  St","St Kilda,","VIC,", 3182

Hairdressers,Classique Hair Styling,(03) 9873 5487,"2/, 75 Mitcham  Rd","Donvale,","VIC,", 3111

Building Designers,Dylan Barber Building Design,0400 311 166,,Newtown,"VIC,",3220

Hairdressers,Serge Videl Hairdressers,(03) 9818 6641,643 Glenferrie Rd,"Hawthorn,","VIC,", 3122

Hairdressers,Sadler Hair Melbourne,0410 955 306,153 HIGH  St,"Prahran,","VIC,", 3181

Hairdressers,Gloss Hair Dezign,(03) 9534 7165,"Shop 9, 2 Albert St","St Kilda,","VIC,", 3182

Hairdressers,Salon Eve,(03) 5298 1547,127 Shannon Ave,"Geelong West,","VIC,", 3218

Hairdressers,Pol Hair Design,(03) 5941 1628,118 Main St,"Pakenham,","VIC,", 3810

Farming,Barber,(03) 5276 1332, Cnr Robbs & Anakie Rd,"Lovely Banks,","VIC,", 3213

Hairdressers,Studio 51 Hair Design,(03) 9842 2222,"Studio 51 Hair Design , 988 Doncaster Rd","Doncaster East,","VIC,", 3109

Hairdressers,Liberty and Frank,(03) 9818 0844,146 Auburn Rd,"Hawthorn,","VIC,", 3122

Hairdressers,Frank the Barber,(03) 9743 6979,1A Exford Rd,"Melton South,","VIC,", 3338

Hairdressers,Zucci Hairdressing,(03) 9497 1038,151 Upper Heidelberg Rd,"Ivanhoe,","VIC,", 3079

Hairdressers,The Barber Club Haircuts For Men,(03) 9600 2511,"Merchant Building cnr Bourke Street, 95 Merchant St","Docklands,","VIC,", 3008

Hairdressers,Creations By Linda,(03) 9314 7970,28 Wembley Ave,"Yarraville,","VIC,", 3013

Beauty Salons,"Snip 
 Shape Hair Design",(03) 9846 3715,Shop 4/ 112 James Street,"Templestowe,","VIC,", 3106

Day Spas,My Day Spa,(03) 9328 5581,37 Flemington  Rd,"North Melbourne,","VIC,", 3051

Beauty Salons,Lash Hair n Beaute,(03) 5991 4029,"Springhill Shopping Centre, Shop 11, 1370 Thompsons Rd","Cranbourne,","VIC,", 3977

Hairdressers,Maria's Unisex Hairstylists,(03) 5134 2264,222 Commercial Rd,"Morwell,","VIC,", 3840

Hairdressers,Lux Hair,(03) 9470 2488,"Northland Shopping Centre, 2, 50 Murray Rd","Preston,","VIC,", 3072

Hairdressers,Barber by the Bay,0431 134 403,"Barber by the Bay, Shop, 47 Civic Pde","Altona,","VIC,", 3018

Hairdressers,Instyle Hair for Brides,0422 327 176,,Ferntree Gully,"VIC,",3156

Hairdressers,Captain Clippers,0401 576 655,"1RC, 757 Bourke St","Docklands,","VIC,", 3008

Hairdressers,Twiggys Mens Hair Stylist,(03) 9376 9788,198 Bellair St,"Kensington,","VIC,", 3031

Beauty Salons,Rush Hair & Co,(03) 9842 2477, Tunstall Sq,"Doncaster East,","VIC,", 3109

Counselling & Mental Health,Barber Barbara,,320 Main St,"Mornington,","VIC,", 3931

Hairdressers,Edwards and Co Melbourne,(03) 9639 5188,"1, 22 Punch Lane","Melbourne,","VIC,", 3000

